,SNTL_STATION,NSE_BCQC,PBIAS(%)_BCQC,PEAK_NSE_BCQC,PEAK_PBIAS(%)_BCQC,Period(yrs)_BCQC,NSE_DAYMET,PBIAS(%)_DAYMET,PEAK_NSE_DAYMET,PEAK_PBIAS(%)_DAYMET,Period(yrs)_DAYMET,NSE_GRIDMET,PBIAS(%)_GRIDMET,PEAK_NSE_GRIDMET,PEAK_PBIAS(%)_GRIDMET,Period(yrs)_GRIDMET,NSE_PRISM,PBIAS(%)_PRISM,PEAK_NSE_PRISM,PEAK_PBIAS(%)_PRISM,Period(yrs)_PRISM,NSE_RAW,PBIAS(%)_RAW,PEAK_NSE_RAW,PEAK_PBIAS(%)_RAW,Period(yrs)_RAW,SNTL:ID,State,SNTL:Name,SNOTEL_Elev_ft,Latitude,Longitude,Data_Starting_Date,Data_Ending_Date,par_id
0,1000_OR,0.6185003337217552,-33.25552367373304,0.6417081318058837,-13.170929120042182,16,0.35547070831553473,-52.28639768447189,-0.3281668461849774,-33.95895241856282,16,0.4789346257856505,-44.41455411012144,0.020094373496821968,-27.101109546567677,16,0.623598006011481,-36.54824388637839,0.4484705230402127,-18.842891567929644,16,0.04083732817869978,-68.25052676350211,-1.5625849775570595,-48.500264232579916,16,1000,OR,Annie Springs,6010,42.87,-122.17,9/15/2000,9/30/2018,or351946
1,1005_CO,0.8140371145471754,-10.624611112460716,0.6654111917199426,1.0367754373952711,16,0.25798815683297205,-65.93159745681199,-1.8468259766895303,-52.923115731815,16,-0.10416346548668433,-80.08191405004024,-3.6501754803893913,-66.43092668336365,16,0.4158658678454487,-54.5908069976997,-0.6830834114014463,-37.64157912755185,16,0.6229859357581633,-40.64224469126182,0.2973023701346467,-22.082740229553686,16,1005,CO,Ute Creek,10650,37.61,-105.37,8/15/2000,9/30/2018,co053541
2,1006_NV,0.3939444902109419,-49.095837065496475,0.06704354572500493,-30.9164868626297,16,0.1381909759775518,-67.71315848742145,-1.1048572618459092,-51.3809884084774,16,-0.06914529218460141,-80.65958567620795,-2.41756121866574,-67.39358870176814,16,0.16457380390537868,-66.91236595115042,-1.1013507217455245,-50.127263896283424,16,0.007404405920736656,-73.57161583453339,-1.1345422438066848,-52.75006771840353,16,1006,NV,Lewis Peak,7400,40.36,-116.86,8/23/2000,9/30/2018,nv260691
3,1008_MT,0.6694295565924531,-7.532833677736418,0.4869686116414972,2.2425597754934574,23,0.4434992630100948,-38.42770053749506,-2.123647488031864,-25.42157618125896,23,0.3723992331762558,-43.09363988183558,-3.2323208419155662,-29.508296844755968,23,0.5018440208826787,-34.41831107210041,-1.287954595186633,-22.696521526694607,23,0.33651429999450033,-34.35237828937158,-1.7112468553115918,-19.974755542192067,23,1008,MT,Onion Park,7410,46.91,-110.85,9/30/1993,9/30/2018,mt245761
4,1009_MT,0.7247712622513061,-23.745891822817665,0.14156718339554394,-11.724744084408801,21,0.6709249352664028,-27.458259417877173,-0.34641201419363593,-17.436126935745936,21,0.7115622709162701,-24.541519992559923,-0.11369137400097153,-15.159798573565402,21,0.7740028584022127,-19.9226965572098,0.3031707429930046,-12.491382125621396,21,0.3952944195995053,-46.959497541275994,-1.9143630112795973,-32.638662102721035,21,1009,MT,Stringer Creek,6550,46.93,-110.9,9/30/1995,9/30/2018,mt241552
5,1010_OR,0.7082099118941656,-28.59926505054234,0.6064307224069123,-12.02441390516215,15,0.033272767104842615,-76.78480883291688,-1.3680231819994382,-56.22482594551606,15,0.022450370504169315,-78.11855375841917,-1.7465886880453034,-60.34077314127637,15,0.49103407335358595,-51.01026320369542,0.1050069043333659,-29.748662240032353,15,0.20550742933946986,-66.89691387576504,-0.5275841971058448,-45.08139682365565,15,1010,OR,Crazyman Flat,6180,42.64,-120.95,9/4/2001,9/30/2018,or356426
6,1011_WA,0.6076950405116539,-10.17386767084982,0.35716067330870604,2.740152452742917,14,0.17205706762078632,-55.69770879178435,-1.2653124811763101,-42.855359266108536,14,0.029758579127229238,-62.489117796299645,-1.9129501694543565,-48.2846343153578,14,0.08332160568881009,-60.73803448957365,-1.8984607423545683,-48.05918960566238,14,0.1022022545005128,-58.62693356658646,-1.6690211069069272,-44.09436249967529,14,1011,WA,MF Nooksack,4970,48.82,-121.93,10/1/2002,9/30/2018,wa451484
7,1012_WA,0.565956684551795,-16.552572767103854,0.3397613185405294,0.31297519592693396,14,-0.0600610842477054,-71.98975694298242,-1.5901885027659768,-55.945913084163934,14,0.08697702885276913,-61.726099056959285,-0.8144900341002337,-43.665234281211326,14,0.8572717813067762,2.848407647888098,0.6471185138142124,13.321146257226054,14,0.04853587618470678,-64.32035877766594,-0.6693380429097431,-43.77520269895896,14,1012,WA,Swift Creek,4440,46.16,-122.18,8/13/2002,9/30/2018,wa451760
8,1013_UT,0.2698999699480004,-59.95573550567382,-1.2139669847061585,-38.132524617717436,15,0.4178734527811929,-52.60104897021396,-0.9342075262811,-35.424301660668284,15,0.07835061449433511,-73.3374127617819,-3.884323034770296,-59.015291302044325,15,0.17512803687221126,-66.06336232962303,-2.519170323290451,-48.90183970623161,15,0.1456549370905338,-67.73259795794934,-2.307116101414111,-48.71403255567532,15,1013,UT,Temple Fork,7406,41.79,-111.55,11/5/2001,9/30/2018,ut424856
9,1014_CO,0.5451737036554491,-38.28671363818343,-0.2854231239872529,-22.214684996436514,15,0.30222318606223986,-54.91033034109199,-2.7080280332593523,-39.32735984337836,15,0.6959232570139231,-27.256610118067204,0.5394399116307276,-10.751637915489571,15,0.5486661252445931,-38.77105033702404,-0.4491148234751485,-24.507766681836532,15,0.20630495310288133,-60.06945919092997,-3.5057362943391963,-45.44904215217373,15,1014,CO,Middle Fork Camp,8940,39.8,-106.03,9/21/2001,9/30/2018,co052281
